FybrrLink Path BW,FybrrLink Path latency,FFybrrLink Path PLR,FybrrLink Hops Count,FybrrLink Execution Time,FybrrLink AVG CD,Plane Dijkstra Path BW,Plane Dijkstra Path latency,Plane Dijkstra Path PLR, Plane Dijkstra Hops Count, Plane Dijkstr Execution Time (in ms),Plane Dijkstra AVG CD,SDRA Path BW,SDRA latency,SDRA PLR,SDRA Hops Count,SDRA Execution Time,SDRA avg CD,Sway Path BW,Sway latency,Sway PLR,Sway Hops Count,Sway Execution Time,Sway avg CD
788,53.2513,0.00289724,3,12,0.695061,898,54.4814,0.00429414,3,69,0.696046,1058,55.3806,0.00329622,4,1213,0.696881,1160,52.4542,0.00249822,3,2734,0.695478
869,17.3358,0.0014,1,8,0.69521,869,17.3358,0.0014,1,48,0.696198,957,20.2622,0.00249844,2,459,0.697183,869,17.3358,0.0014,1,1456,0.695622
737,92.3275,0.00668258,5,14,0.695284,701,92.3275,0.00668258,5,121,0.696272,0,0,0,0,0,0.697408,685,92.3275,0.00668258,5,2114,0.695622
1248,94.8887,0.00638376,6,14,0.695391,758,89.5998,0.0082727,5,156,0.696379,768,90.499,0.00658285,6,3568,0.697408,736,87.5726,0.00708008,5,1948,0.695622
768,2.70296,0.0012,1,8,0.69557,1073,35.6921,0.00159961,2,43,0.696527,732,2.70296,0.0012,1,186,0.69768,768,2.70296,0.0012,1,1387,0.695796
778,126.371,0.00813439,8,17,0.695596,722,91.9772,0.00708039,5,154,0.696572,707,95.9049,0.00936174,8,1156884,0.697719,832,88.7199,0.00489105,5,2502,0.695835
906,108.306,0.00827214,6,15,0.696772,679,109.536,0.00678156,6,184,0.69733,836,113.464,0.00836975,9,7499802,0.699515,880,78.3457,0.00748304,7,2081,0.696243
1138,59.7703,0.00289711,4,101,0.696815,397,89.5998,0.00469164,5,149,0.697372,666,55.3806,0.00239791,4,810,0.699606,1138,59.7703,0.00289711,4,1709,0.696316
481,61.4572,0.00509059,4,14,0.696901,372,89.5998,0.00469164,5,135,0.697479,641,55.3806,0.00239791,4,797,0.699734,1113,59.7703,0.00289711,4,1701,0.696445
880,25.4446,0.00249892,4,15,0.697104,760,126.872,0.0075768,7,227,0.697734,862,28.371,0.00409488,5,2381,0.700038,872,25.4446,0.00249892,4,1786,0.696748
926,13.5148,0.00628487,5,14,0.697194,789,92.3275,0.00737851,5,154,0.697878,581,13.5148,0.00628487,5,299,0.700194,850,81.6223,0.00985881,8,24860,0.696845
837,70.582,0.00817184,8,18,0.697367,766,128.899,0.00827215,7,222,0.698047,537,51.3361,0.0102548,8,211572,0.700453,768,146.809,0.0113446,8,27450,0.697177
742,49.6491,0.00956086,8,17,0.697957,686,109.536,0.00807376,6,187,0.698537,457,36.4799,0.00886662,8,14742,0.701345,739,56.3965,0.0060858,5,2031,0.69737
756,84.4222,0.00538843,6,14,0.698556,694,108.963,0.00658285,6,256,0.698953,1015,75.6427,0.00578675,6,18000,0.70227,1102,75.6427,0.00578675,6,6400,0.697895
1102,93.2019,0.00688038,7,100,0.698684,669,91.4035,0.00548889,5,132,0.699087,989,93.2019,0.0079733,7,62895,0.702463,1007,90.1735,0.00866979,5,1789,0.698089
731,104.684,0.00727736,8,18,0.698995,805,91.9772,0.00678235,5,116,0.69932,828,95.9049,0.00926293,8,1315656,0.702926,694,91.9772,0.00708074,5,1680,0.698277
